0,1,2,3,4,5,6,7,8
2.0,-2.0,-11.0,-1.0,1.0,2.0,20.0,-22.0,-14.0
-7.0,17.0,-26.0,-1.0,0.0,-1.0,19.0,-22.0,-15.0
2.0,14.0,-8.0,-1.0,-1.0,-1.0,18.0,-23.0,-16.0
5.0,-15.0,13.0,0.0,1.0,-2.0,18.0,-22.0,-18.0
2.0,-16.0,11.0,0.0,0.0,0.0,18.0,-22.0,-18.0
-6.0,1.0,-3.0,0.0,0.0,1.0,18.0,-22.0,-17.0
-4.0,-4.0,3.0,0.0,0.0,-1.0,18.0,-22.0,-18.0
0.0,0.0,0.0,0.0,0.0,0.0,18.0,-22.0,-18.0
12.0,7.0,-4.0,-1.0,1.0,0.0,17.0,-21.0,-18.0
-2.0,22.0,-21.0,1.0,0.0,-1.0,18.0,-21.0,-19.0
-7.0,-1.0,3.0,0.0,-2.0,-2.0,18.0,-23.0,-21.0
5.0,-22.0,31.0,0.0,0.0,-2.0,18.0,-23.0,-23.0
6.0,-10.0,10.0,1.0,1.0,1.0,19.0,-22.0,-22.0
0.0,4.0,-11.0,0.0,-1.0,0.0,19.0,-23.0,-22.0
-8.0,-2.0,-2.0,0.0,0.0,-1.0,19.0,-23.0,-23.0
0.0,-3.0,5.0,0.0,0.0,-1.0,19.0,-23.0,-24.0
1.0,-18.0,19.0,0.0,0.0,-1.0,19.0,-23.0,-25.0
0.0,0.0,0.0,0.0,0.0,0.0,19.0,-23.0,-25.0
0.0,-30.0,18.0,1.0,1.0,1.0,20.0,-22.0,-24.0
5.0,-9.0,-1.0,-1.0,1.0,0.0,19.0,-21.0,-24.0
0.0,-4.0,-6.0,0.0,1.0,1.0,19.0,-20.0,-23.0
6.0,8.0,-23.0,0.0,0.0,-1.0,19.0,-20.0,-24.0
-14.0,14.0,-21.0,0.0,0.0,-1.0,19.0,-20.0,-25.0
-12.0,-9.0,9.0,0.0,-1.0,-1.0,19.0,-21.0,-26.0
17.0,-13.0,20.0,0.0,0.0,-2.0,19.0,-21.0,-28.0
6.0,-10.0,13.0,0.0,0.0,0.0,19.0,-21.0,-28.0
-12.0,-8.0,2.0,0.0,0.0,1.0,19.0,-21.0,-27.0
3.0,-11.0,1.0,0.0,0.0,0.0,19.0,-21.0,-27.0
12.0,-4.0,-8.0,0.0,1.0,1.0,19.0,-20.0,-26.0
0.0,0.0,0.0,0.0,0.0,0.0,19.0,-20.0,-26.0
-14.0,15.0,-12.0,-1.0,0.0,-1.0,18.0,-20.0,-27.0
-2.0,-12.0,20.0,-1.0,0.0,-1.0,17.0,-20.0,-28.0
4.0,-10.0,19.0,0.0,1.0,0.0,17.0,-19.0,-28.0
-2.0,4.0,1.0,0.0,0.0,0.0,17.0,-19.0,-28.0
7.0,-4.0,-9.0,0.0,0.0,1.0,17.0,-19.0,-27.0
2.0,6.0,-15.0,0.0,0.0,-1.0,17.0,-19.0,-28.0
-5.0,7.0,-2.0,-1.0,0.0,0.0,16.0,-19.0,-28.0
-3.0,-7.0,9.0,0.0,0.0,-1.0,16.0,-19.0,-29.0
5.0,-19.0,19.0,0.0,0.0,0.0,16.0,-19.0,-29.0
5.0,5.0,-4.0,-1.0,0.0,1.0,15.0,-19.0,-28.0
-10.0,5.0,-6.0,-1.0,0.0,0.0,14.0,-19.0,-28.0
0.0,0.0,0.0,0.0,0.0,0.0,14.0,-19.0,-28.0
4.0,-7.0,11.0,0.0,0.0,0.0,14.0,-19.0,-28.0
14.0,12.0,-4.0,0.0,1.0,-1.0,14.0,-18.0,-29.0
-14.0,-5.0,4.0,0.0,0.0,0.0,14.0,-18.0,-29.0
0.0,-16.0,14.0,0.0,0.0,0.0,14.0,-18.0,-29.0
15.0,15.0,-11.0,-1.0,1.0,0.0,13.0,-17.0,-29.0
-7.0,17.0,-15.0,-1.0,-1.0,0.0,12.0,-18.0,-29.0
-12.0,-2.0,11.0,0.0,-1.0,-1.0,12.0,-19.0,-30.0
3.0,-10.0,18.0,1.0,0.0,0.0,13.0,-19.0,-30.0
15.0,-5.0,1.0,0.0,1.0,-1.0,13.0,-18.0,-31.0
-5.0,-2.0,6.0,-1.0,0.0,1.0,12.0,-18.0,-30.0
1.0,-2.0,10.0,0.0,0.0,0.0,12.0,-18.0,-30.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,-18.0,-30.0
5.0,8.0,-8.0,-1.0,0.0,0.0,11.0,-18.0,-30.0
-7.0,-6.0,-2.0,0.0,0.0,0.0,11.0,-18.0,-30.0
0.0,-15.0,18.0,-1.0,1.0,0.0,10.0,-17.0,-30.0
3.0,2.0,10.0,0.0,0.0,0.0,10.0,-17.0,-30.0
3.0,0.0,-2.0,-1.0,1.0,1.0,9.0,-16.0,-29.0
-1.0,-2.0,-12.0,1.0,0.0,1.0,10.0,-16.0,-28.0
-2.0,-4.0,-8.0,0.0,0.0,-1.0,10.0,-16.0,-29.0
5.0,13.0,-8.0,-1.0,0.0,0.0,9.0,-16.0,-29.0
-2.0,27.0,-13.0,0.0,0.0,-1.0,9.0,-16.0,-30.0
0.0,-5.0,5.0,1.0,-1.0,-1.0,10.0,-17.0,-31.0
-2.0,-15.0,15.0,1.0,-1.0,0.0,11.0,-18.0,-31.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,-18.0,-31.0
-7.0,-5.0,16.0,0.0,0.0,0.0,11.0,-18.0,-31.0
12.0,1.0,5.0,0.0,0.0,0.0,11.0,-18.0,-31.0
3.0,11.0,-5.0,0.0,0.0,0.0,11.0,-18.0,-31.0
-2.0,2.0,-3.0,0.0,-1.0,0.0,11.0,-19.0,-31.0
-4.0,-7.0,4.0,1.0,0.0,0.0,12.0,-19.0,-31.0
4.0,-8.0,14.0,0.0,0.0,-1.0,12.0,-19.0,-32.0
8.0,-7.0,8.0,-1.0,1.0,0.0,11.0,-18.0,-32.0
-16.0,-8.0,1.0,0.0,-1.0,1.0,11.0,-19.0,-31.0
-8.0,-11.0,15.0,0.0,0.0,0.0,11.0,-19.0,-31.0
14.0,6.0,4.0,-1.0,2.0,1.0,10.0,-17.0,-30.0
13.0,26.0,-35.0,0.0,0.0,0.0,10.0,-17.0,-30.0
-3.0,9.0,-26.0,1.0,-1.0,-1.0,11.0,-18.0,-31.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,-18.0,-31.0
-10.0,-5.0,12.0,0.0,-2.0,-1.0,11.0,-20.0,-32.0
-2.0,-8.0,18.0,1.0,0.0,-1.0,12.0,-20.0,-33.0
3.0,-17.0,19.0,0.0,0.0,0.0,12.0,-20.0,-33.0
4.0,-9.0,11.0,0.0,0.0,0.0,12.0,-20.0,-33.0
-5.0,0.0,5.0,-1.0,0.0,1.0,11.0,-20.0,-32.0
7.0,7.0,-1.0,-1.0,0.0,0.0,10.0,-20.0,-32.0
1.0,9.0,-4.0,0.0,0.0,1.0,10.0,-20.0,-31.0
-8.0,-15.0,9.0,1.0,0.0,0.0,11.0,-20.0,-31.0
12.0,-8.0,-5.0,0.0,1.0,1.0,11.0,-19.0,-30.0
-7.0,6.0,-10.0,0.0,-1.0,-1.0,11.0,-20.0,-31.0
1.0,0.0,-1.0,-1.0,0.0,0.0,10.0,-20.0,-31.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,-20.0,-31.0
11.0,15.0,-2.0,0.0,0.0,0.0,10.0,-20.0,-31.0
-8.0,11.0,-5.0,0.0,0.0,0.0,10.0,-20.0,-31.0
-8.0,-23.0,17.0,2.0,-2.0,0.0,12.0,-22.0,-31.0
8.0,-23.0,23.0,0.0,1.0,0.0,12.0,-21.0,-31.0
-1.0,3.0,-1.0,-1.0,0.0,1.0,11.0,-21.0,-30.0
-8.0,-4.0,4.0,-1.0,0.0,1.0,10.0,-21.0,-29.0
14.0,7.0,-8.0,-1.0,1.0,0.0,9.0,-20.0,-29.0
1.0,17.0,-13.0,0.0,0.0,0.0,9.0,-20.0,-29.0
-9.0,2.0,7.0,0.0,-1.0,-1.0,9.0,-21.0,-30.0
6.0,-17.0,14.0,1.0,0.0,1.0,10.0,-21.0,-29.0
-5.0,-8.0,3.0,0.0,0.0,1.0,10.0,-21.0,-28.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,-21.0,-28.0
-4.0,4.0,-4.0,-1.0,0.0,-1.0,9.0,-21.0,-29.0
0.0,-12.0,13.0,-1.0,0.0,0.0,8.0,-21.0,-29.0
9.0,-1.0,7.0,-1.0,1.0,0.0,7.0,-20.0,-29.0
11.0,23.0,-23.0,0.0,0.0,1.0,7.0,-20.0,-28.0
-11.0,9.0,-14.0,0.0,-1.0,-1.0,7.0,-21.0,-29.0
-6.0,-13.0,17.0,0.0,-1.0,0.0,7.0,-22.0,-29.0
15.0,-4.0,18.0,-1.0,1.0,0.0,6.0,-21.0,-29.0
3.0,4.0,2.0,0.0,0.0,0.0,6.0,-21.0,-29.0
-13.0,-8.0,12.0,-1.0,-1.0,1.0,5.0,-22.0,-28.0
5.0,-11.0,22.0,0.0,1.0,1.0,5.0,-21.0,-27.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,-21.0,-27.0
15.0,5.0,-6.0,0.0,1.0,1.0,5.0,-20.0,-26.0
-5.0,12.0,-21.0,0.0,-1.0,1.0,5.0,-21.0,-25.0
-8.0,2.0,-6.0,0.0,0.0,0.0,5.0,-21.0,-25.0
-2.0,-5.0,8.0,0.0,0.0,-1.0,5.0,-21.0,-26.0
-2.0,-12.0,14.0,1.0,0.0,1.0,6.0,-21.0,-25.0
7.0,-10.0,4.0,0.0,0.0,0.0,6.0,-21.0,-25.0
-5.0,-4.0,-1.0,-1.0,1.0,1.0,5.0,-20.0,-24.0
1.0,5.0,-3.0,-1.0,0.0,0.0,4.0,-20.0,-24.0
9.0,16.0,-17.0,-1.0,1.0,-1.0,3.0,-19.0,-25.0
-6.0,10.0,0.0,-1.0,0.0,-1.0,2.0,-19.0,-26.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,-19.0,-26.0
6.0,-2.0,10.0,0.0,0.0,0.0,2.0,-19.0,-26.0
1.0,4.0,-4.0,-1.0,0.0,-1.0,1.0,-19.0,-27.0
-5.0,11.0,2.0,0.0,-1.0,-1.0,1.0,-20.0,-28.0
2.0,-3.0,21.0,-1.0,0.0,0.0,0.0,-20.0,-28.0
0.0,-1.0,10.0,1.0,1.0,1.0,1.0,-19.0,-27.0
0.0,-3.0,4.0,0.0,0.0,0.0,1.0,-19.0,-27.0
-2.0,-3.0,3.0,1.0,0.0,0.0,2.0,-19.0,-27.0
2.0,-3.0,-6.0,0.0,0.0,0.0,2.0,-19.0,-27.0
1.0,-6.0,0.0,1.0,0.0,0.0,3.0,-19.0,-27.0
9.0,-3.0,0.0,1.0,1.0,0.0,4.0,-18.0,-27.0
1.0,-7.0,0.0,0.0,0.0,-1.0,4.0,-18.0,-28.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,-18.0,-28.0
-11.0,-7.0,2.0,-1.0,0.0,0.0,3.0,-18.0,-28.0
-8.0,-6.0,11.0,0.0,-1.0,0.0,3.0,-19.0,-28.0
7.0,-10.0,19.0,-1.0,1.0,0.0,2.0,-18.0,-28.0
14.0,-8.0,1.0,1.0,1.0,2.0,3.0,-17.0,-26.0
-6.0,1.0,-20.0,0.0,0.0,1.0,3.0,-17.0,-25.0
-7.0,3.0,-8.0,0.0,0.0,0.0,3.0,-17.0,-25.0
-1.0,-13.0,22.0,-1.0,0.0,-1.0,2.0,-17.0,-26.0
8.0,-19.0,19.0,-1.0,1.0,0.0,1.0,-16.0,-26.0
6.0,3.0,-4.0,0.0,1.0,2.0,1.0,-15.0,-24.0
-6.0,10.0,-8.0,-1.0,0.0,0.0,0.0,-15.0,-24.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,-24.0
1.0,9.0,-12.0,0.0,1.0,1.0,0.0,-14.0,-23.0
-1.0,11.0,-14.0,0.0,0.0,0.0,0.0,-14.0,-23.0
-9.0,4.0,0.0,0.0,0.0,-1.0,0.0,-14.0,-24.0
0.0,-14.0,15.0,1.0,-1.0,-1.0,1.0,-15.0,-25.0
12.0,-5.0,9.0,0.0,0.0,0.0,1.0,-15.0,-25.0
0.0,10.0,2.0,-1.0,1.0,1.0,0.0,-14.0,-24.0
0.0,-2.0,4.0,-1.0,0.0,0.0,-1.0,-14.0,-24.0
8.0,-8.0,-2.0,1.0,0.0,0.0,0.0,-14.0,-24.0
-1.0,8.0,-14.0,0.0,0.0,0.0,0.0,-14.0,-24.0
-15.0,-6.0,15.0,-1.0,-1.0,-1.0,-1.0,-15.0,-25.0
8.0,-11.0,25.0,-1.0,1.0,-1.0,-2.0,-14.0,-26.0
0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-14.0,-26.0
13.0,10.0,0.0,-1.0,1.0,0.0,-3.0,-13.0,-26.0
-6.0,7.0,-7.0,0.0,0.0,0.0,-3.0,-13.0,-26.0
-5.0,1.0,-12.0,1.0,0.0,0.0,-2.0,-13.0,-26.0
-3.0,-14.0,11.0,0.0,-1.0,0.0,-2.0,-14.0,-26.0
11.0,-12.0,23.0,0.0,2.0,0.0,-2.0,-12.0,-26.0
1.0,4.0,-3.0,0.0,1.0,1.0,-2.0,-11.0,-25.0
-10.0,3.0,-13.0,0.0,0.0,0.0,-2.0,-11.0,-25.0
0.0,-23.0,17.0,0.0,0.0,0.0,-2.0,-11.0,-25.0
7.0,-19.0,16.0,0.0,1.0,2.0,-2.0,-10.0,-23.0
6.0,14.0,-19.0,0.0,1.0,0.0,-2.0,-9.0,-23.0
0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-9.0,-23.0
-7.0,7.0,-9.0,-1.0,0.0,0.0,-3.0,-9.0,-23.0
2.0,-9.0,11.0,0.0,1.0,0.0,-3.0,-8.0,-23.0
5.0,-4.0,1.0,1.0,0.0,0.0,-2.0,-8.0,-23.0
-9.0,-6.0,2.0,0.0,1.0,0.0,-2.0,-7.0,-23.0
2.0,-12.0,13.0,0.0,0.0,1.0,-2.0,-7.0,-22.0
2.0,-5.0,4.0,0.0,2.0,2.0,-2.0,-5.0,-20.0
3.0,4.0,-12.0,0.0,0.0,0.0,-2.0,-5.0,-20.0
0.0,-4.0,-4.0,0.0,1.0,0.0,-2.0,-4.0,-20.0
-7.0,-7.0,10.0,-1.0,0.0,0.0,-3.0,-4.0,-20.0
0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-4.0,-20.0
3.0,-2.0,10.0,0.0,1.0,1.0,-3.0,-3.0,-19.0
3.0,1.0,-1.0,0.0,1.0,0.0,-3.0,-2.0,-19.0
1.0,-9.0,2.0,0.0,1.0,1.0,-3.0,-1.0,-18.0
6.0,-2.0,-6.0,0.0,1.0,2.0,-3.0,0.0,-16.0
-5.0,14.0,-13.0,0.0,0.0,0.0,-3.0,0.0,-16.0
-7.0,-2.0,5.0,0.0,0.0,0.0,-3.0,0.0,-16.0
14.0,-2.0,1.0,0.0,1.0,0.0,-3.0,1.0,-16.0
-2.0,8.0,-10.0,0.0,0.0,0.0,-3.0,1.0,-16.0
-11.0,-3.0,2.0,1.0,-1.0,0.0,-2.0,0.0,-16.0
0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-16.0
6.0,2.0,5.0,-1.0,1.0,0.0,-3.0,1.0,-16.0
1.0,6.0,6.0,0.0,0.0,0.0,-3.0,1.0,-16.0
-4.0,4.0,10.0,0.0,0.0,0.0,-3.0,1.0,-16.0
-6.0,-9.0,18.0,1.0,0.0,1.0,-2.0,1.0,-15.0
3.0,-16.0,20.0,1.0,2.0,2.0,-1.0,3.0,-13.0
12.0,4.0,-6.0,0.0,1.0,1.0,-1.0,4.0,-12.0
-8.0,-9.0,-9.0,1.0,1.0,1.0,0.0,5.0,-11.0
3.0,-11.0,-1.0,-1.0,0.0,0.0,-1.0,5.0,-11.0
12.0,26.0,-17.0,-1.0,2.0,1.0,-2.0,7.0,-10.0
0.0,0.0,0.0,0.0,0.0,0.0,-2.0,7.0,-10.0
-10.0,18.0,-22.0,0.0,-1.0,0.0,-2.0,6.0,-10.0
-8.0,-7.0,5.0,1.0,0.0,0.0,-1.0,6.0,-10.0
4.0,-11.0,17.0,1.0,0.0,0.0,0.0,6.0,-10.0
8.0,4.0,-7.0,0.0,0.0,1.0,0.0,6.0,-9.0
5.0,20.0,-27.0,-1.0,0.0,1.0,-1.0,6.0,-8.0
-10.0,6.0,-6.0,0.0,-1.0,-1.0,-1.0,5.0,-9.0
-4.0,-5.0,16.0,0.0,-1.0,0.0,-1.0,4.0,-9.0
7.0,4.0,12.0,0.0,-1.0,-1.0,-1.0,3.0,-10.0
-4.0,-10.0,17.0,0.0,0.0,1.0,-1.0,3.0,-9.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,-9.0
-3.0,-15.0,21.0,-1.0,0.0,1.0,-2.0,3.0,-8.0
6.0,3.0,7.0,-1.0,1.0,2.0,-3.0,4.0,-6.0
3.0,9.0,-6.0,0.0,1.0,1.0,-3.0,5.0,-5.0
1.0,9.0,-9.0,0.0,0.0,0.0,-3.0,5.0,-5.0
-4.0,7.0,-4.0,1.0,0.0,1.0,-2.0,5.0,-4.0
0.0,-4.0,8.0,0.0,1.0,0.0,-2.0,6.0,-4.0
2.0,-2.0,7.0,1.0,0.0,0.0,-1.0,6.0,-4.0
8.0,7.0,-11.0,1.0,0.0,1.0,0.0,6.0,-3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-3.0
-4.0,4.0,-19.0,1.0,-1.0,1.0,1.0,5.0,-2.0
-12.0,-8.0,9.0,0.0,0.0,0.0,1.0,5.0,-2.0
10.0,-12.0,27.0,0.0,0.0,0.0,1.0,5.0,-2.0
1.0,3.0,9.0,-1.0,1.0,1.0,0.0,6.0,-1.0
-1.0,11.0,-13.0,-1.0,1.0,1.0,-1.0,7.0,0.0
0.0,1.0,-6.0,0.0,0.0,0.0,-1.0,7.0,0.0
-4.0,-8.0,20.0,0.0,1.0,0.0,-1.0,8.0,0.0
4.0,-3.0,23.0,-2.0,1.0,1.0,-3.0,9.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,-3.0,9.0,1.0
13.0,17.0,-13.0,-1.0,2.0,1.0,-4.0,11.0,2.0
7.0,33.0,-57.0,0.0,0.0,0.0,-4.0,11.0,2.0
-8.0,23.0,-48.0,1.0,-2.0,-1.0,-3.0,9.0,1.0
-20.0,-12.0,12.0,2.0,-2.0,-2.0,-1.0,7.0,-1.0
-2.0,-27.0,53.0,1.0,-1.0,-1.0,0.0,6.0,-2.0
17.0,-10.0,36.0,-1.0,1.0,0.0,-1.0,7.0,-2.0
0.0,-1.0,8.0,-1.0,1.0,1.0,-2.0,8.0,-1.0
-2.0,0.0,3.0,-2.0,1.0,2.0,-4.0,9.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,-4.0,9.0,1.0
7.0,12.0,-4.0,-1.0,1.0,0.0,-5.0,10.0,1.0
-3.0,12.0,-6.0,-1.0,1.0,0.0,-6.0,11.0,1.0
-4.0,-2.0,3.0,0.0,1.0,-1.0,-6.0,12.0,0.0
7.0,6.0,-5.0,1.0,0.0,0.0,-5.0,12.0,0.0
1.0,16.0,-23.0,0.0,0.0,0.0,-5.0,12.0,0.0
-8.0,4.0,-16.0,1.0,0.0,0.0,-4.0,12.0,0.0
1.0,-1.0,-3.0,1.0,-1.0,-1.0,-3.0,11.0,-1.0
-1.0,3.0,-1.0,0.0,0.0,-1.0,-3.0,11.0,-2.0
-7.0,-2.0,17.0,0.0,-1.0,0.0,-3.0,10.0,-2.0
0.0,0.0,0.0,0.0,0.0,0.0,-3.0,10.0,-2.0
4.0,-13.0,27.0,-1.0,1.0,0.0,-4.0,11.0,-2.0
9.0,-1.0,7.0,0.0,1.0,0.0,-4.0,12.0,-2.0
-2.0,10.0,-7.0,-2.0,0.0,0.0,-6.0,12.0,-2.0
2.0,11.0,-7.0,-1.0,0.0,-1.0,-7.0,12.0,-3.0
3.0,12.0,-12.0,0.0,0.0,0.0,-7.0,12.0,-3.0
-5.0,4.0,-2.0,1.0,-1.0,-1.0,-6.0,11.0,-4.0
-3.0,-4.0,16.0,1.0,0.0,-1.0,-5.0,11.0,-5.0
4.0,1.0,15.0,0.0,1.0,0.0,-5.0,12.0,-5.0
1.0,6.0,3.0,0.0,0.0,0.0,-5.0,12.0,-5.0
0.0,0.0,0.0,0.0,0.0,0.0,-5.0,12.0,-5.0
-3.0,-3.0,7.0,1.0,1.0,0.0,-4.0,13.0,-5.0
0.0,-10.0,14.0,1.0,1.0,0.0,-3.0,14.0,-5.0
3.0,-3.0,10.0,0.0,1.0,-1.0,-3.0,15.0,-6.0
5.0,3.0,-1.0,0.0,2.0,0.0,-3.0,17.0,-6.0
0.0,7.0,-8.0,-1.0,1.0,0.0,-4.0,18.0,-6.0
0.0,8.0,-10.0,0.0,1.0,-1.0,-4.0,19.0,-7.0
1.0,5.0,-13.0,1.0,1.0,-1.0,-3.0,20.0,-8.0
-1.0,3.0,-17.0,0.0,0.0,-1.0,-3.0,20.0,-9.0
-3.0,4.0,-10.0,1.0,0.0,-1.0,-2.0,20.0,-10.0
0.0,0.0,0.0,0.0,0.0,0.0,-2.0,20.0,-10.0
-2.0,5.0,3.0,0.0,0.0,-2.0,-2.0,20.0,-12.0
2.0,3.0,9.0,0.0,0.0,-1.0,-2.0,20.0,-13.0
3.0,2.0,3.0,1.0,0.0,-1.0,-1.0,20.0,-14.0
2.0,5.0,-6.0,0.0,0.0,-1.0,-1.0,20.0,-15.0
1.0,6.0,-11.0,0.0,-1.0,-1.0,-1.0,19.0,-16.0
2.0,6.0,-14.0,0.0,0.0,-1.0,-1.0,19.0,-17.0
0.0,7.0,-15.0,1.0,-2.0,-2.0,0.0,17.0,-19.0
-1.0,6.0,-17.0,0.0,-2.0,-2.0,0.0,15.0,-21.0
-1.0,4.0,-16.0,1.0,-3.0,-1.0,1.0,12.0,-22.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,-22.0
-1.0,3.0,-14.0,1.0,-3.0,-2.0,2.0,9.0,-24.0
0.0,4.0,-12.0,1.0,-4.0,-2.0,3.0,5.0,-26.0
-1.0,4.0,-11.0,0.0,-4.0,-2.0,3.0,1.0,-28.0
-1.0,2.0,-10.0,1.0,-4.0,-2.0,4.0,-3.0,-30.0
0.0,3.0,-9.0,1.0,-5.0,-2.0,5.0,-8.0,-32.0
-1.0,3.0,-7.0,1.0,-4.0,-2.0,6.0,-12.0,-34.0
0.0,3.0,-7.0,1.0,-5.0,-2.0,7.0,-17.0,-36.0
-1.0,4.0,-6.0,1.0,-6.0,-2.0,8.0,-23.0,-38.0
-1.0,5.0,-6.0,2.0,-5.0,-2.0,10.0,-28.0,-40.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,-28.0,-40.0
-1.0,4.0,-5.0,2.0,-5.0,-2.0,12.0,-33.0,-42.0
-1.0,6.0,-5.0,2.0,-6.0,-2.0,14.0,-39.0,-44.0
-1.0,6.0,-5.0,2.0,-5.0,-2.0,16.0,-44.0,-46.0
-1.0,8.0,-3.0,3.0,-5.0,-2.0,19.0,-49.0,-48.0
-2.0,8.0,2.0,4.0,-6.0,-2.0,23.0,-55.0,-50.0
-10.0,-10.0,19.0,4.0,-5.0,-2.0,27.0,-60.0,-52.0
-23.0,-63.0,76.0,5.0,-3.0,0.0,32.0,-63.0,-52.0
0.0,-91.0,100.0,3.0,0.0,4.0,35.0,-63.0,-48.0
19.0,-48.0,48.0,1.0,3.0,6.0,36.0,-60.0,-42.0
3.0,-8.0,-7.0,-1.0,2.0,5.0,35.0,-58.0,-37.0
-5.0,-9.0,-23.0,-1.0,2.0,3.0,34.0,-56.0,-34.0
-4.0,-12.0,-14.0,-1.0,2.0,3.0,33.0,-54.0,-31.0
0.0,0.0,0.0,0.0,0.0,0.0,33.0,-54.0,-31.0
1.0,-5.0,-9.0,0.0,3.0,2.0,33.0,-51.0,-29.0
5.0,6.0,-20.0,-1.0,2.0,2.0,32.0,-49.0,-27.0
-1.0,12.0,-25.0,-1.0,2.0,1.0,31.0,-47.0,-26.0
-4.0,7.0,-16.0,-1.0,2.0,2.0,30.0,-45.0,-24.0
0.0,5.0,-10.0,-1.0,1.0,1.0,29.0,-44.0,-23.0
2.0,7.0,-11.0,0.0,2.0,1.0,29.0,-42.0,-22.0
-1.0,7.0,-11.0,0.0,1.0,1.0,29.0,-41.0,-21.0
-5.0,-2.0,-1.0,-2.0,1.0,0.0,27.0,-40.0,-21.0
1.0,-6.0,9.0,-2.0,1.0,1.0,25.0,-39.0,-20.0
4.0,-1.0,9.0,-2.0,2.0,1.0,23.0,-37.0,-19.0
-1.0,-3.0,14.0,-3.0,2.0,1.0,20.0,-35.0,-18.0
0.0,0.0,0.0,0.0,0.0,0.0,20.0,-35.0,-18.0
8.0,7.0,1.0,-2.0,2.0,1.0,18.0,-33.0,-17.0
5.0,28.0,-21.0,-2.0,1.0,1.0,16.0,-32.0,-16.0
-8.0,20.0,-15.0,-1.0,0.0,0.0,15.0,-32.0,-16.0
1.0,3.0,6.0,0.0,0.0,-1.0,15.0,-32.0,-17.0
3.0,-11.0,16.0,1.0,1.0,0.0,16.0,-31.0,-17.0
1.0,-12.0,7.0,-1.0,1.0,1.0,15.0,-30.0,-16.0
-5.0,-8.0,6.0,-1.0,1.0,0.0,14.0,-29.0,-16.0
2.0,1.0,5.0,-1.0,1.0,1.0,13.0,-28.0,-15.0
5.0,11.0,-2.0,-2.0,2.0,1.0,11.0,-26.0,-14.0
-4.0,1.0,4.0,-1.0,1.0,0.0,10.0,-25.0,-14.0
0.0,-17.0,13.0,0.0,1.0,1.0,10.0,-24.0,-13.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,-24.0,-13.0
8.0,-3.0,1.0,0.0,2.0,2.0,10.0,-22.0,-11.0
-4.0,10.0,-13.0,-1.0,1.0,1.0,9.0,-21.0,-10.0
-5.0,0.0,-4.0,-1.0,1.0,0.0,8.0,-20.0,-10.0
6.0,4.0,-8.0,0.0,1.0,1.0,8.0,-19.0,-9.0
-3.0,7.0,-12.0,-1.0,1.0,0.0,7.0,-18.0,-9.0
-8.0,-6.0,2.0,0.0,0.0,1.0,7.0,-18.0,-8.0
