0,1,2,3,4,5,6,7,8
-1.0,16.0,-17.0,0.0,-1.0,0.0,-13.0,2.0,-1.0
-5.0,3.0,2.0,1.0,0.0,-1.0,-12.0,2.0,-2.0
4.0,-3.0,13.0,1.0,-1.0,-1.0,-11.0,1.0,-3.0
7.0,9.0,-11.0,0.0,0.0,1.0,-11.0,1.0,-2.0
-7.0,3.0,-12.0,0.0,-1.0,0.0,-11.0,0.0,-2.0
0.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,-2.0
-3.0,-2.0,6.0,0.0,-1.0,-1.0,-11.0,-1.0,-3.0
-1.0,-5.0,26.0,0.0,0.0,0.0,-11.0,-1.0,-3.0
6.0,-3.0,23.0,0.0,1.0,1.0,-11.0,0.0,-2.0
9.0,7.0,-4.0,0.0,0.0,1.0,-11.0,0.0,-1.0
-3.0,5.0,-14.0,1.0,1.0,1.0,-10.0,1.0,0.0
-4.0,-5.0,1.0,2.0,-1.0,1.0,-8.0,0.0,1.0
-2.0,-16.0,11.0,1.0,1.0,0.0,-7.0,1.0,1.0
2.0,-13.0,-2.0,1.0,0.0,1.0,-6.0,1.0,2.0
-3.0,-4.0,-7.0,0.0,0.0,0.0,-6.0,1.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,-6.0,1.0,2.0
-1.0,6.0,0.0,-1.0,0.0,0.0,-7.0,1.0,2.0
5.0,16.0,-7.0,0.0,1.0,1.0,-7.0,2.0,3.0
-1.0,8.0,-11.0,1.0,-1.0,0.0,-6.0,1.0,3.0
-6.0,-6.0,4.0,1.0,0.0,0.0,-5.0,1.0,3.0
1.0,-11.0,14.0,0.0,0.0,1.0,-5.0,1.0,4.0
0.0,-10.0,14.0,0.0,0.0,1.0,-5.0,1.0,5.0
2.0,-8.0,4.0,0.0,1.0,2.0,-5.0,2.0,7.0
3.0,-2.0,-12.0,0.0,1.0,2.0,-5.0,3.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,-5.0,3.0,9.0
-1.0,5.0,-19.0,-1.0,0.0,0.0,-6.0,3.0,9.0
-3.0,9.0,-8.0,0.0,0.0,0.0,-6.0,3.0,9.0
0.0,7.0,1.0,0.0,0.0,-1.0,-6.0,3.0,8.0
0.0,4.0,7.0,0.0,-1.0,0.0,-6.0,2.0,8.0
2.0,1.0,2.0,1.0,0.0,0.0,-5.0,2.0,8.0
0.0,-5.0,-3.0,0.0,-1.0,1.0,-5.0,1.0,9.0
-2.0,-4.0,0.0,1.0,-1.0,1.0,-4.0,0.0,10.0
2.0,5.0,0.0,0.0,0.0,0.0,-4.0,0.0,10.0
1.0,11.0,-2.0,0.0,0.0,0.0,-4.0,0.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,10.0
1.0,6.0,-5.0,2.0,-1.0,0.0,-2.0,-1.0,10.0
-1.0,-3.0,-4.0,1.0,-1.0,0.0,-1.0,-2.0,10.0
-2.0,-10.0,5.0,2.0,-2.0,1.0,1.0,-4.0,11.0
-1.0,-15.0,9.0,0.0,-1.0,0.0,1.0,-5.0,11.0
0.0,-14.0,6.0,0.0,0.0,2.0,1.0,-5.0,13.0
1.0,-11.0,1.0,0.0,0.0,1.0,1.0,-5.0,14.0
0.0,-12.0,-2.0,1.0,-1.0,2.0,2.0,-6.0,16.0
0.0,-11.0,-5.0,0.0,0.0,2.0,2.0,-6.0,18.0
-1.0,-4.0,-9.0,0.0,-1.0,1.0,2.0,-7.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,-7.0,19.0
0.0,3.0,-12.0,-1.0,-1.0,1.0,1.0,-8.0,20.0
-1.0,7.0,-14.0,0.0,-1.0,0.0,1.0,-9.0,20.0
0.0,13.0,-16.0,1.0,-2.0,0.0,2.0,-11.0,20.0
-1.0,15.0,-16.0,0.0,-2.0,0.0,2.0,-13.0,20.0
-1.0,17.0,-15.0,0.0,-3.0,-1.0,2.0,-16.0,19.0
-1.0,17.0,-12.0,1.0,-3.0,0.0,3.0,-19.0,19.0
1.0,16.0,-12.0,1.0,-4.0,-2.0,4.0,-23.0,17.0
0.0,15.0,-8.0,0.0,-5.0,-1.0,4.0,-28.0,16.0
0.0,13.0,-7.0,1.0,-4.0,0.0,5.0,-32.0,16.0
0.0,12.0,-5.0,1.0,-5.0,-1.0,6.0,-37.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,-37.0,15.0
-1.0,11.0,-7.0,2.0,-5.0,-1.0,8.0,-42.0,14.0
-2.0,13.0,-5.0,1.0,-6.0,-2.0,9.0,-48.0,12.0
-8.0,19.0,4.0,2.0,-5.0,-1.0,11.0,-53.0,11.0
-19.0,23.0,37.0,3.0,-5.0,-2.0,14.0,-58.0,9.0
-6.0,22.0,74.0,4.0,-2.0,-3.0,18.0,-60.0,6.0
29.0,23.0,63.0,3.0,2.0,-5.0,21.0,-58.0,1.0
26.0,22.0,22.0,3.0,3.0,-3.0,24.0,-55.0,-2.0
1.0,4.0,-3.0,3.0,1.0,-1.0,27.0,-54.0,-3.0
-8.0,-12.0,-2.0,5.0,0.0,0.0,32.0,-54.0,-3.0
-1.0,-15.0,1.0,4.0,2.0,0.0,36.0,-52.0,-3.0
0.0,0.0,0.0,0.0,0.0,0.0,36.0,-52.0,-3.0
2.0,-13.0,-9.0,3.0,3.0,-1.0,39.0,-49.0,-4.0
-3.0,-15.0,-16.0,3.0,2.0,-1.0,42.0,-47.0,-5.0
-3.0,-21.0,-17.0,3.0,1.0,0.0,45.0,-46.0,-5.0
-15.0,-24.0,5.0,2.0,2.0,0.0,47.0,-44.0,-5.0
0.0,-28.0,14.0,1.0,3.0,-1.0,48.0,-41.0,-6.0
13.0,-17.0,-3.0,0.0,4.0,0.0,48.0,-37.0,-6.0
-7.0,-12.0,-7.0,-2.0,2.0,-1.0,46.0,-35.0,-7.0
0.0,-18.0,1.0,-1.0,3.0,0.0,45.0,-32.0,-7.0
8.0,-9.0,-4.0,-1.0,3.0,-1.0,44.0,-29.0,-8.0
0.0,0.0,0.0,0.0,0.0,0.0,44.0,-29.0,-8.0
-8.0,-4.0,2.0,-1.0,2.0,0.0,43.0,-27.0,-8.0
-1.0,-12.0,12.0,-1.0,3.0,0.0,42.0,-24.0,-8.0
8.0,-10.0,1.0,-1.0,3.0,0.0,41.0,-21.0,-8.0
-1.0,-7.0,-14.0,-1.0,2.0,1.0,40.0,-19.0,-7.0
-2.0,-10.0,-12.0,-1.0,2.0,0.0,39.0,-17.0,-7.0
0.0,0.0,-8.0,-2.0,2.0,0.0,37.0,-15.0,-7.0
3.0,9.0,-12.0,-2.0,1.0,-1.0,35.0,-14.0,-8.0
-8.0,-4.0,6.0,0.0,1.0,0.0,35.0,-13.0,-8.0
-2.0,-19.0,18.0,1.0,2.0,1.0,36.0,-11.0,-7.0
6.0,-12.0,-1.0,-1.0,2.0,0.0,35.0,-9.0,-7.0
0.0,0.0,0.0,0.0,0.0,0.0,35.0,-9.0,-7.0
-4.0,-4.0,-7.0,-2.0,2.0,0.0,33.0,-7.0,-7.0
0.0,-5.0,0.0,-2.0,1.0,0.0,31.0,-6.0,-7.0
4.0,6.0,-3.0,-2.0,2.0,1.0,29.0,-4.0,-6.0
-1.0,5.0,-4.0,-1.0,1.0,0.0,28.0,-3.0,-6.0
-5.0,4.0,1.0,-1.0,2.0,1.0,27.0,-1.0,-5.0
-1.0,-3.0,9.0,-1.0,1.0,0.0,26.0,0.0,-5.0
4.0,-4.0,-3.0,0.0,2.0,0.0,26.0,2.0,-5.0
-2.0,4.0,-12.0,-2.0,2.0,0.0,24.0,4.0,-5.0
-2.0,-1.0,-3.0,-1.0,1.0,1.0,23.0,5.0,-4.0
-1.0,-3.0,5.0,-2.0,1.0,0.0,21.0,6.0,-4.0
0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,-4.0
-1.0,5.0,7.0,-2.0,2.0,0.0,19.0,8.0,-4.0
2.0,9.0,6.0,-2.0,2.0,0.0,17.0,10.0,-4.0
8.0,2.0,-10.0,-1.0,2.0,1.0,16.0,12.0,-3.0
-2.0,2.0,-22.0,-1.0,1.0,1.0,15.0,13.0,-2.0
-8.0,8.0,-15.0,-1.0,1.0,-1.0,14.0,14.0,-3.0
-1.0,10.0,1.0,-2.0,0.0,-1.0,12.0,14.0,-4.0
2.0,3.0,8.0,0.0,1.0,0.0,12.0,15.0,-4.0
-2.0,-1.0,2.0,0.0,1.0,0.0,12.0,16.0,-4.0
3.0,5.0,-1.0,0.0,0.0,1.0,12.0,16.0,-3.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,-3.0
0.0,-1.0,1.0,0.0,1.0,0.0,12.0,17.0,-3.0
-2.0,-6.0,-3.0,0.0,1.0,0.0,12.0,18.0,-3.0
4.0,9.0,-14.0,0.0,0.0,0.0,12.0,18.0,-3.0
-4.0,9.0,-9.0,0.0,0.0,0.0,12.0,18.0,-3.0
-4.0,-10.0,7.0,1.0,-1.0,0.0,13.0,17.0,-3.0
-5.0,-13.0,17.0,1.0,0.0,0.0,14.0,17.0,-3.0
6.0,0.0,6.0,0.0,1.0,1.0,14.0,18.0,-2.0
3.0,-2.0,-13.0,1.0,0.0,1.0,15.0,18.0,-1.0
-4.0,-8.0,-17.0,1.0,0.0,1.0,16.0,18.0,0.0
0.0,2.0,-11.0,1.0,-1.0,0.0,17.0,17.0,0.0
-4.0,-2.0,-2.0,1.0,-1.0,0.0,18.0,16.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,18.0,16.0,0.0
-5.0,-8.0,5.0,0.0,-1.0,-1.0,18.0,15.0,-1.0
4.0,-8.0,7.0,1.0,0.0,1.0,19.0,15.0,0.0
-2.0,-13.0,1.0,0.0,0.0,0.0,19.0,15.0,0.0
-3.0,-11.0,-1.0,0.0,-1.0,1.0,19.0,14.0,1.0
0.0,-12.0,9.0,0.0,1.0,1.0,19.0,15.0,2.0
1.0,-3.0,2.0,-1.0,0.0,1.0,18.0,15.0,3.0
7.0,18.0,-21.0,-1.0,1.0,1.0,17.0,16.0,4.0
-12.0,-2.0,0.0,0.0,-1.0,0.0,17.0,15.0,4.0
-1.0,-22.0,15.0,1.0,0.0,1.0,18.0,15.0,5.0
6.0,-1.0,-4.0,0.0,1.0,1.0,18.0,16.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,18.0,16.0,6.0
-4.0,17.0,-17.0,-1.0,0.0,1.0,17.0,16.0,7.0
-2.0,8.0,-9.0,0.0,-1.0,0.0,17.0,15.0,7.0
4.0,-12.0,6.0,1.0,0.0,0.0,18.0,15.0,7.0
-3.0,-8.0,11.0,0.0,0.0,1.0,18.0,15.0,8.0
5.0,3.0,-9.0,0.0,1.0,1.0,18.0,16.0,9.0
3.0,13.0,-25.0,-1.0,-1.0,1.0,17.0,15.0,10.0
-18.0,7.0,3.0,0.0,-1.0,0.0,17.0,14.0,10.0
2.0,-6.0,20.0,0.0,0.0,0.0,17.0,14.0,10.0
9.0,-6.0,14.0,0.0,1.0,0.0,17.0,15.0,10.0
4.0,-2.0,0.0,0.0,0.0,2.0,17.0,15.0,12.0
-4.0,8.0,-14.0,0.0,0.0,1.0,17.0,15.0,13.0
0.0,0.0,0.0,0.0,0.0,0.0,17.0,15.0,13.0
-3.0,7.0,-4.0,0.0,1.0,1.0,17.0,16.0,14.0
8.0,3.0,-4.0,0.0,0.0,0.0,17.0,16.0,14.0
-7.0,-3.0,-2.0,1.0,-1.0,0.0,18.0,15.0,14.0
-7.0,-8.0,12.0,0.0,0.0,0.0,18.0,15.0,14.0
7.0,-5.0,3.0,0.0,0.0,1.0,18.0,15.0,15.0
2.0,0.0,-2.0,-1.0,1.0,0.0,17.0,16.0,15.0
-3.0,1.0,-3.0,0.0,0.0,1.0,17.0,16.0,16.0
-2.0,3.0,-13.0,0.0,1.0,1.0,17.0,17.0,17.0
-4.0,2.0,-2.0,-1.0,0.0,0.0,16.0,17.0,17.0
5.0,2.0,1.0,0.0,0.0,0.0,16.0,17.0,17.0
-6.0,4.0,-1.0,0.0,0.0,1.0,16.0,17.0,18.0
-5.0,1.0,3.0,0.0,0.0,1.0,16.0,17.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.0,19.0
11.0,10.0,-18.0,0.0,1.0,0.0,16.0,18.0,19.0
-6.0,0.0,-5.0,0.0,-1.0,0.0,16.0,17.0,19.0
-2.0,-12.0,19.0,0.0,0.0,1.0,16.0,17.0,20.0
8.0,6.0,-7.0,0.0,1.0,1.0,16.0,18.0,21.0
-10.0,6.0,-11.0,-1.0,-1.0,1.0,15.0,17.0,22.0
0.0,-2.0,-4.0,0.0,0.0,0.0,15.0,17.0,22.0
-3.0,1.0,9.0,-1.0,0.0,-1.0,14.0,17.0,21.0
4.0,4.0,7.0,-1.0,0.0,1.0,13.0,17.0,22.0
5.0,7.0,-18.0,0.0,0.0,0.0,13.0,17.0,22.0
-8.0,4.0,-7.0,0.0,0.0,1.0,13.0,17.0,23.0
1.0,-1.0,0.0,1.0,0.0,0.0,14.0,17.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,23.0
1.0,2.0,2.0,0.0,-1.0,0.0,14.0,16.0,23.0
2.0,5.0,-4.0,0.0,0.0,1.0,14.0,16.0,24.0
-4.0,5.0,-7.0,0.0,-1.0,0.0,14.0,15.0,24.0
-4.0,-5.0,0.0,0.0,0.0,0.0,14.0,15.0,24.0
-8.0,-4.0,15.0,0.0,-1.0,0.0,14.0,14.0,24.0
6.0,0.0,4.0,0.0,1.0,1.0,14.0,15.0,25.0
3.0,-4.0,-2.0,0.0,0.0,0.0,14.0,15.0,25.0
6.0,-3.0,-4.0,-1.0,0.0,1.0,13.0,15.0,26.0
2.0,8.0,-18.0,0.0,0.0,1.0,13.0,15.0,27.0
-15.0,8.0,-2.0,0.0,-1.0,-1.0,13.0,14.0,26.0
7.0,0.0,5.0,0.0,0.0,0.0,13.0,14.0,26.0
0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,26.0
2.0,12.0,-11.0,0.0,0.0,0.0,13.0,14.0,26.0
-10.0,0.0,3.0,1.0,-2.0,0.0,14.0,12.0,26.0
3.0,-21.0,18.0,0.0,0.0,1.0,14.0,12.0,27.0
5.0,2.0,-10.0,0.0,1.0,1.0,14.0,13.0,28.0
-6.0,13.0,-11.0,-1.0,-1.0,1.0,13.0,12.0,29.0
0.0,9.0,3.0,0.0,0.0,0.0,13.0,12.0,29.0
4.0,0.0,-3.0,1.0,0.0,0.0,14.0,12.0,29.0
-1.0,-10.0,-5.0,0.0,-1.0,0.0,14.0,11.0,29.0
-7.0,-3.0,5.0,-1.0,0.0,0.0,13.0,11.0,29.0
3.0,1.0,4.0,-1.0,0.0,0.0,12.0,11.0,29.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,29.0
2.0,11.0,-6.0,-1.0,0.0,0.0,11.0,11.0,29.0
-7.0,10.0,-12.0,-1.0,0.0,0.0,10.0,11.0,29.0
-3.0,3.0,-7.0,0.0,-1.0,0.0,10.0,10.0,29.0
2.0,4.0,13.0,-1.0,-1.0,-1.0,9.0,9.0,28.0
10.0,4.0,1.0,0.0,1.0,0.0,9.0,10.0,28.0
0.0,1.0,-5.0,0.0,-1.0,0.0,9.0,9.0,28.0
-7.0,-7.0,6.0,0.0,0.0,1.0,9.0,9.0,29.0
9.0,3.0,-6.0,0.0,0.0,0.0,9.0,9.0,29.0
-6.0,5.0,-1.0,0.0,0.0,0.0,9.0,9.0,29.0
-10.0,-2.0,10.0,-1.0,0.0,0.0,8.0,9.0,29.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,29.0
9.0,5.0,-4.0,0.0,0.0,0.0,8.0,9.0,29.0
-3.0,11.0,-8.0,0.0,0.0,0.0,8.0,9.0,29.0
8.0,10.0,-12.0,0.0,0.0,0.0,8.0,9.0,29.0
-3.0,-7.0,-11.0,1.0,-1.0,0.0,9.0,8.0,29.0
-24.0,-9.0,16.0,-1.0,-1.0,0.0,8.0,7.0,29.0
17.0,9.0,9.0,-1.0,1.0,-1.0,7.0,8.0,28.0
0.0,11.0,-3.0,-1.0,0.0,0.0,6.0,8.0,28.0
-4.0,3.0,-5.0,0.0,0.0,0.0,6.0,8.0,28.0
8.0,-5.0,2.0,0.0,0.0,0.0,6.0,8.0,28.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,28.0
-2.0,-1.0,4.0,1.0,0.0,0.0,7.0,8.0,28.0
-5.0,7.0,-6.0,-1.0,0.0,0.0,6.0,8.0,28.0
-1.0,8.0,-2.0,0.0,0.0,0.0,6.0,8.0,28.0
11.0,11.0,-4.0,0.0,1.0,0.0,6.0,9.0,28.0
-5.0,5.0,-15.0,1.0,0.0,-1.0,7.0,9.0,27.0
-4.0,6.0,-7.0,0.0,-1.0,0.0,7.0,8.0,27.0
4.0,1.0,10.0,1.0,0.0,0.0,8.0,8.0,27.0
-3.0,-8.0,0.0,1.0,0.0,0.0,9.0,8.0,27.0
-9.0,-3.0,1.0,0.0,0.0,-1.0,9.0,8.0,26.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,26.0
7.0,1.0,4.0,-1.0,0.0,0.0,8.0,8.0,26.0
5.0,0.0,-18.0,-1.0,1.0,0.0,7.0,9.0,26.0
-13.0,3.0,-5.0,0.0,-1.0,0.0,7.0,8.0,26.0
5.0,5.0,11.0,-1.0,1.0,-1.0,6.0,9.0,25.0
5.0,-1.0,1.0,0.0,0.0,0.0,6.0,9.0,25.0
-10.0,4.0,-11.0,0.0,0.0,0.0,6.0,9.0,25.0
-6.0,10.0,-6.0,0.0,0.0,-1.0,6.0,9.0,24.0
12.0,-3.0,3.0,0.0,0.0,0.0,6.0,9.0,24.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,24.0
2.0,-1.0,-12.0,1.0,0.0,0.0,7.0,9.0,24.0
-17.0,7.0,-4.0,0.0,-1.0,-1.0,7.0,8.0,23.0
8.0,3.0,4.0,-1.0,0.0,-1.0,6.0,8.0,22.0
-1.0,4.0,7.0,0.0,0.0,-1.0,6.0,8.0,21.0
-3.0,-2.0,-2.0,1.0,0.0,0.0,7.0,8.0,21.0
2.0,-2.0,-10.0,0.0,0.0,0.0,7.0,8.0,21.0
-8.0,2.0,-1.0,1.0,0.0,0.0,8.0,8.0,21.0
12.0,-3.0,0.0,0.0,0.0,0.0,8.0,8.0,21.0
0.0,6.0,-16.0,0.0,0.0,-1.0,8.0,8.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,20.0
-9.0,11.0,-10.0,0.0,-1.0,0.0,8.0,7.0,20.0
-7.0,1.0,21.0,1.0,0.0,-1.0,9.0,7.0,19.0
-2.0,-8.0,7.0,1.0,0.0,0.0,10.0,7.0,19.0
9.0,-13.0,-17.0,1.0,-1.0,1.0,11.0,6.0,20.0
-1.0,-13.0,-13.0,0.0,0.0,0.0,11.0,6.0,20.0
-5.0,-2.0,-2.0,-1.0,0.0,-1.0,10.0,6.0,19.0
0.0,14.0,3.0,-1.0,0.0,-1.0,9.0,6.0,18.0
-2.0,6.0,4.0,-1.0,0.0,0.0,8.0,6.0,18.0
6.0,-4.0,-6.0,1.0,0.0,0.0,9.0,6.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,18.0
-6.0,-6.0,-4.0,1.0,0.0,0.0,10.0,6.0,18.0
-6.0,-2.0,-1.0,0.0,0.0,-1.0,10.0,6.0,17.0
10.0,-7.0,-1.0,-1.0,0.0,0.0,9.0,6.0,17.0
-8.0,-9.0,7.0,0.0,0.0,1.0,9.0,6.0,18.0
-4.0,9.0,-10.0,-1.0,0.0,-1.0,8.0,6.0,17.0
8.0,8.0,-6.0,0.0,0.0,-1.0,8.0,6.0,16.0
-1.0,-8.0,16.0,0.0,0.0,0.0,8.0,6.0,16.0
6.0,4.0,-12.0,0.0,0.0,1.0,8.0,6.0,17.0
-3.0,3.0,-27.0,0.0,-1.0,0.0,8.0,5.0,17.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,17.0
-19.0,-18.0,18.0,0.0,-1.0,-1.0,8.0,4.0,16.0
4.0,-2.0,25.0,-1.0,1.0,0.0,7.0,5.0,16.0
21.0,26.0,-28.0,-2.0,1.0,0.0,5.0,6.0,16.0
-14.0,17.0,-21.0,0.0,-1.0,-1.0,5.0,5.0,15.0
-13.0,-16.0,27.0,1.0,-1.0,0.0,6.0,4.0,15.0
16.0,-18.0,17.0,1.0,1.0,1.0,7.0,5.0,16.0
-4.0,9.0,-11.0,-1.0,0.0,1.0,6.0,5.0,17.0
1.0,1.0,-16.0,-1.0,-1.0,0.0,5.0,4.0,17.0
-8.0,-1.0,2.0,0.0,0.0,0.0,5.0,4.0,17.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,17.0
1.0,9.0,10.0,0.0,1.0,0.0,5.0,5.0,17.0
15.0,4.0,-13.0,0.0,0.0,0.0,5.0,5.0,17.0
-3.0,-3.0,-14.0,1.0,-1.0,1.0,6.0,4.0,18.0
-2.0,2.0,-11.0,0.0,0.0,-1.0,6.0,4.0,17.0
-5.0,6.0,-8.0,0.0,-1.0,0.0,6.0,3.0,17.0
-9.0,0.0,16.0,0.0,-1.0,-1.0,6.0,2.0,16.0
-3.0,-10.0,24.0,0.0,0.0,0.0,6.0,2.0,16.0
6.0,-11.0,7.0,0.0,1.0,1.0,6.0,3.0,17.0
3.0,-3.0,-12.0,-1.0,1.0,1.0,5.0,4.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,18.0
2.0,-2.0,-14.0,-1.0,0.0,0.0,4.0,4.0,18.0
-7.0,11.0,-1.0,-1.0,0.0,0.0,3.0,4.0,18.0
2.0,15.0,-7.0,0.0,0.0,-1.0,3.0,4.0,17.0
0.0,-1.0,-3.0,0.0,0.0,0.0,3.0,4.0,17.0
-6.0,-5.0,8.0,1.0,0.0,0.0,4.0,4.0,17.0
9.0,4.0,-2.0,-1.0,0.0,0.0,3.0,4.0,17.0
0.0,-2.0,-4.0,1.0,0.0,1.0,4.0,4.0,18.0
-2.0,-9.0,-3.0,0.0,0.0,0.0,4.0,4.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,18.0
-4.0,-10.0,4.0,-1.0,0.0,0.0,3.0,4.0,18.0
12.0,-6.0,-5.0,-1.0,1.0,0.0,2.0,5.0,18.0
-4.0,24.0,-11.0,-2.0,0.0,0.0,0.0,5.0,18.0
-11.0,21.0,8.0,-1.0,-1.0,-1.0,-1.0,4.0,17.0
11.0,-7.0,9.0,2.0,0.0,1.0,1.0,4.0,18.0
-10.0,-9.0,2.0,1.0,0.0,1.0,2.0,4.0,19.0
5.0,-5.0,-8.0,1.0,1.0,1.0,3.0,5.0,20.0
8.0,6.0,-15.0,-1.0,0.0,0.0,2.0,5.0,20.0
-23.0,5.0,9.0,0.0,0.0,0.0,2.0,5.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,20.0
7.0,-1.0,5.0,-1.0,0.0,0.0,1.0,5.0,20.0
12.0,12.0,-13.0,0.0,0.0,0.0,1.0,5.0,20.0
-10.0,8.0,-4.0,0.0,0.0,0.0,1.0,5.0,20.0
10.0,-9.0,6.0,1.0,0.0,0.0,2.0,5.0,20.0
-2.0,5.0,0.0,-1.0,0.0,1.0,1.0,5.0,21.0
-11.0,12.0,-3.0,0.0,0.0,1.0,1.0,5.0,22.0
0.0,-11.0,5.0,0.0,0.0,0.0,1.0,5.0,22.0
0.0,-19.0,12.0,0.0,1.0,0.0,1.0,6.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,22.0
16.0,0.0,-7.0,-1.0,1.0,1.0,0.0,7.0,23.0
1.0,22.0,-27.0,-1.0,1.0,0.0,-1.0,8.0,23.0
-21.0,14.0,0.0,-1.0,-1.0,0.0,-2.0,7.0,23.0
8.0,-6.0,13.0,1.0,0.0,0.0,-1.0,7.0,23.0
5.0,-2.0,-2.0,0.0,1.0,-1.0,-1.0,8.0,22.0
-12.0,3.0,-2.0,0.0,0.0,0.0,-1.0,8.0,22.0
0.0,-11.0,3.0,0.0,0.0,1.0,-1.0,8.0,23.0
-2.0,-3.0,0.0,-1.0,1.0,0.0,-2.0,9.0,23.0
9.0,15.0,-8.0,-1.0,1.0,0.0,-3.0,10.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,-3.0,10.0,23.0
8.0,17.0,-17.0,0.0,1.0,0.0,-3.0,11.0,23.0
-15.0,-8.0,2.0,1.0,0.0,0.0,-2.0,11.0,23.0
4.0,-12.0,15.0,1.0,0.0,0.0,-1.0,11.0,23.0
7.0,13.0,-9.0,-1.0,1.0,1.0,-2.0,12.0,24.0
-13.0,11.0,-14.0,0.0,0.0,0.0,-2.0,12.0,24.0
0.0,-8.0,2.0,0.0,0.0,0.0,-2.0,12.0,24.0
3.0,-7.0,1.0,1.0,0.0,0.0,-1.0,12.0,24.0
-10.0,3.0,7.0,-1.0,1.0,0.0,-2.0,13.0,24.0
10.0,5.0,6.0,0.0,1.0,0.0,-2.0,14.0,24.0
0.0,0.0,0.0,0.0,0.0,0.0,-2.0,14.0,24.0
9.0,-3.0,-15.0,0.0,0.0,1.0,-2.0,14.0,25.0
-18.0,-7.0,-8.0,0.0,0.0,0.0,-2.0,14.0,25.0
7.0,1.0,-1.0,0.0,1.0,0.0,-2.0,15.0,25.0
5.0,11.0,-11.0,-1.0,0.0,-1.0,-3.0,15.0,24.0
-15.0,7.0,1.0,-1.0,0.0,0.0,-4.0,15.0,24.0
2.0,-11.0,15.0,0.0,0.0,-1.0,-4.0,15.0,23.0
5.0,1.0,0.0,0.0,1.0,0.0,-4.0,16.0,23.0
-2.0,12.0,-8.0,0.0,0.0,1.0,-4.0,16.0,24.0
2.0,6.0,-12.0,-1.0,0.0,0.0,-5.0,16.0,24.0
0.0,0.0,0.0,0.0,0.0,0.0,-5.0,16.0,24.0
1.0,10.0,-9.0,0.0,0.0,0.0,-5.0,16.0,24.0
-3.0,3.0,8.0,1.0,0.0,0.0,-4.0,16.0,24.0
0.0,-3.0,5.0,0.0,0.0,0.0,-4.0,16.0,24.0
-9.0,2.0,5.0,0.0,0.0,0.0,-4.0,16.0,24.0
5.0,0.0,2.0,0.0,1.0,0.0,-4.0,17.0,24.0
6.0,12.0,-15.0,0.0,0.0,0.0,-4.0,17.0,24.0
-2.0,6.0,-10.0,0.0,0.0,-1.0,-4.0,17.0,23.0
